# r_minus_2Rs_A,    PMF_over_kBT
-3.375000000000000000e+00 2.199029739223465896e+01
-3.324999999999999734e+00 2.932039652297954646e+01
-3.274999999999999911e+00 3.665049565372443396e+01
-3.225000000000000089e+00 3.665049565372443396e+01
-3.174999999999999822e+00 3.665049565372443396e+01
-3.125000000000000000e+00 3.665049565372443396e+01
-3.074999999999999734e+00 3.665049565372443396e+01
-3.024999999999999911e+00 3.665049565372443396e+01
-2.974999999999999645e+00 3.665049565372443396e+01
-2.924999999999999822e+00 3.665049565372443396e+01
-2.875000000000000000e+00 3.665049565372443396e+01
-2.824999999999999734e+00 3.665049565372443396e+01
-2.774999999999999911e+00 3.665049565372443396e+01
-2.724999999999999645e+00 3.665049565372443396e+01
-2.674999999999999822e+00 3.665049565372443396e+01
-2.625000000000000000e+00 3.665049565372443396e+01
-2.574999999999999734e+00 3.665049565372443396e+01
-2.524999999999999911e+00 3.665049565372443396e+01
-2.474999999999999645e+00 3.665049565372443396e+01
-2.424999999999999822e+00 3.665049565372443396e+01
-2.375000000000000000e+00 3.665049565372443396e+01
-2.324999999999999734e+00 3.665049565372443396e+01
-2.274999999999999911e+00 3.665049565372443396e+01
-2.224999999999999645e+00 3.665049565372443396e+01
-2.174999999999999822e+00 3.665049565372443396e+01
-2.125000000000000000e+00 3.665049565372443396e+01
-2.074999999999999734e+00 3.665049565372443396e+01
-2.024999999999999911e+00 3.665049565372443396e+01
-1.974999999999999645e+00 3.665049565372443396e+01
-1.924999999999999822e+00 3.665049565372443396e+01
-1.875000000000000000e+00 3.665049565372443396e+01
-1.824999999999999734e+00 3.665049565372443396e+01
-1.774999999999999911e+00 3.665049565372443396e+01
-1.724999999999999645e+00 3.665049565372443396e+01
-1.674999999999999822e+00 3.665049565372443396e+01
-1.625000000000000000e+00 3.665049565372443396e+01
-1.574999999999999734e+00 3.665049565372443396e+01
-1.524999999999999911e+00 3.665049565372443396e+01
-1.474999999999999645e+00 3.665049565372443396e+01
-1.424999999999999822e+00 3.665049565372443396e+01
-1.374999999999999556e+00 3.665049565372443396e+01
-1.324999999999999734e+00 3.665049565372443396e+01
-1.274999999999999911e+00 3.665049565372443396e+01
-1.225000000000000089e+00 3.665049565372443396e+01
-1.174999999999999822e+00 3.665049565372443396e+01
-1.124999999999999556e+00 3.665049565372443396e+01
-1.074999999999999734e+00 3.665049565372443396e+01
-1.024999999999999911e+00 3.665049565372443396e+01
-9.749999999999996447e-01 3.665049565372443396e+01
-9.249999999999998224e-01 3.665049565372443396e+01
-8.749999999999995559e-01 3.665049565372443396e+01
-8.249999999999997335e-01 3.665049565372443396e+01
-7.749999999999999112e-01 3.665049565372443396e+01
-7.249999999999996447e-01 3.665049565372443396e+01
-6.749999999999998224e-01 3.665049565372443396e+01
-6.249999999999995559e-01 3.665049565372443396e+01
-5.749999999999997335e-01 3.665049565372443396e+01
-5.249999999999999112e-01 3.665049565372443396e+01
-4.749999999999996447e-01 3.039905858027806929e+01
-4.249999999999998224e-01 2.377981859536165743e+01
-3.749999999999995559e-01 1.681387356665224431e+01
-3.249999999999997335e-01 9.658771006182369945e+00
-2.749999999999999112e-01 2.385123074864367254e+00
-2.249999999999996447e-01 1.263847565349162760e+00
-1.749999999999998224e-01 4.767580411455259459e-01
-1.249999999999995559e-01 2.300154193768763622e-02
-7.499999999999973355e-02 -2.158578868709017939e-01
-2.499999999999991118e-02 -3.306323079472211490e-01
2.500000000000035527e-02 -3.364662959797936614e-01
7.500000000000017764e-02 -2.902993827967705887e-01
1.250000000000004441e-01 -2.252048059522732126e-01
1.750000000000002665e-01 -1.732418917381164103e-01
